jawaban_mahasiswa,jawaban_dosen,human_rater,human_rater_scaled
client server fungsi perangkat menjadi client menjadi server artinya hak untuk menjadi client server dimiliki menguntungkan device menjadi client server jumlah file data luas mudah memperoleh data contoh client server jaringan komputer peer to peer,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,80,0.8
client komputer me request data informasi jaringan komputer tampilan client menggunakan gui server komputer berfungsi untuk me reply permintaan data software server berbeda client tampilan server menggunakan command line,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,80,0.8
client perangkat jaringan komputer meminta paket data server server penyedia layanan server terdapat data data diakses client,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,80,0.8
client server metode jaringan dimana server bertindak admin supply data client bertindak demant data misalnya client meminta izin untuk mengambil data server server supplier data berhak untuk mengizinkan client mengambil data,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,80,0.8
client pihak meminta data jaringan server pihak melayani penyimpanan data berada disana contohnya membuka website komputer client mengirimkan pesan server meminta data website ditampilkan tampilan gambar tulisan dll website server mengirimkan data syarat koneksinya terjalin baik ack,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,80,0.8
client perangkat komputer meminta request menerima data jaringan server perangkat komputer dirancang untuk melayani client memproses request memberikan data diminta client jaringan komputer,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,80,0.8
server penyedia penyimpanan data memberikan data data client mendapatkan data,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,80,0.8
client server jaringan komputer komunikasi dua belah pihak server penyedia layanan informasi client pihak meminta informasi client bertindak penyedia informasi mengirimkannya server,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,80,0.8
jaringan komputer client bertindak peminta pengguna layanan server penyedia layanan dilakukan dua mesin berbeda terjadi mesin,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,80,0.8
client server jaringan komputer jaringan memiliki host dua level berbeda client host server host client host melakukan request server mengakses mengolah data server melakukan perubahan jaringan server host menyimpan mengolah data device digunakan client jaringan server mengatur data dikirim jaringan,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,90,0.9
client server jaringan menghubungkan jaringan menghubungkan client user server jaringan membuat client meminta data informasi untuk akses permintaan server server mengirimkan data diminta client data diminta tersedia sesuai protocol client menerima data,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,90,0.9
client server jaringan komputer client user pemakai jaringan merequest permintaan server server penyedia informasi data dibutuhkan client,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,90,0.9
client server model jaringan memerlukan server tetap fixed server pusat lintas data jaringan klien bertindak device mengirimkan request server bertindak device membalasnya reply request,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,90,0.9
host berada tingkat bawah hierarki jaringan client memiliki akses terbatas singkatnya meminta baik data akses host disebut server untuk membuka webpage client meminta data server mengirimkan kembali data http client untuk diakses,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,90,0.9
hibernate pc proses untuk mematikan komputer komputer benar benar keadaan mati artinya ram komputer tetap menyala data ram transfer hard disk data ram hilang,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
sistem windows memilih menu shutdown pilihan untuk mematikan komputer shutdown salah satunya hibernate hibernate kondisi dimana komputer masuk status bekerja aktif menyimpan program ram hard disk terhubung sumber daya baterai steker dimaksudkan pengguna menyalakan kembali windows langsung bekerja melanjutkan pekerjaan,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
hibernate keadaan dimana komputer menyimpan dokumen program terbuka mematikan power komputer sepenuhnya hibernate berbeda shutdown shutdown komputer dihidupkan kembali komputer memulai keadaan awal komputer hibernate komputer dihidupkan kembali komputer menyala keadaan menghibernate komputer maksudnya program data terbuka komputer hibernate tetap menyala tertutup,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
hibernate pc proses komputer memungkinkan komputer untuk menyala bekerja energi rendah menutup close aplikasi dijalankan hibernate dilaksanakan,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,79,0.79
hibernate menyebabkan komputer untuk menyimpan data digunakan hard disk komputer tercabut terlepas sumber listrik pekerjaan dilakukan komputer hibernate tersimpan hilang,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate salah satu proses dimana komputer dimatikan dimatikan data berupa program dijalankan berada ram dialihkan hard disk rom data hilang daya diberikan komputer sepenuhnya dihilangkan jadi dinyalakan kembali data berupa program dinyalakan dikembalikan ram rom seakan komputer dimatikan sepenuhnya,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate cara mematikan komputer user kehilangan data close tersimpan memakan penggunaan listrik baterai keadaan hibernate mati dinyalakan kembali komputer menampilkan layar desktop hibernate,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
hibernate cara mematikan komputer untuk jangka waktu panjang data aktif simpan memori power cpu mati komputer dinyalakan data muncul kembali digunakan hibernate terjadi supply energy listrik tiba tiba terhenti secara umum fungsi hibernate fungsi sleep hibernate mematikan power aktivitas komputer,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
hibernate pc proses komputer untuk mencapai low power state keadaan hibernate pc benar benar mati total dinyalakan kembali prosesnya memakan waktu dimulai awal kembali kondisi komputer berada no power state proses hibernate pc program berjalan pc hilang pc dinyalakan kembali pc langsung menampilkan program program berjalan,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,70,0.7
hibernate keadaan pc mati keadaan terakhir pc tersimpan hard disk dinyalakan kembali keadaan pc berubah memulai hibernate misalnya menjelajah internet pergi untuk makan menutup tab tab program program dibuka dilakukan proses hibernate jadi keadaan sistem berjalan direkam disimpan hard disk komputer dimatikan dinyalakan kembali keadaan tersimpan hard disk dimuat kembali pc menyala keadaan dimatikan hibernate,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate penyimpanan data hard disk data hilang keadaan hibernate komputer dimatikan untuk hibernate untuk menghemat energi komputer dipakai untuk waktu keuntungannya komputer dinyalakan langsung masuk layar windows mengalami proses booting komputer berada keadaan warm boot,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate kondisi dimana pc digunakan aplikasi tetap berjalan hibernate data disimpan aliran listrik pc dihentikan data langsung terhapus sistem,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
hibernate keadaan state komputer dimana data data program diaplikasikan disimpan harddisk disk drive komputer menggunakan energi power rendah keadaan hibernate keadaan hibernate komputer siap untuk shutdown dimatikan proses penyimpanan data,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
proses hibernate pc termasuk cara untuk shutdown proses hibernate data pc menyala ram disimpan storage rom komputer posisi hibernate power benar benar kondisi off perlu men transfer daya ram pc dihidupkan proses hibernate os me load data rom ram,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
dimaksud hibernate komputer proses boot komputer dimana data files simpan secara temporarily hard drive hard disk hard disk power daya komputer dihilangkan dimatikan dicabut user mendapatkan file file nya kembali power dinyalakan berbeda sleep dimana file disimpan ram komputer diatur tingkat daya rendah,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate proses untuk membuat pc keadaan shut down kembali dihidupkan melanjutkan sesi dikerjakan pc keadaannya mirip sleep untuk rentang waktu mengeluarkan energi kondisi sleep untuk kondisi low powered kondisi hibernate menutup aplikasi apapun kerjakan,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,90,0.9
dimaksud hibernate pc kondisi dimana file file program berjalan komputer menyala dimatikan file program disimpan hard disk ram komputer berada keadaan mati total keadaan low power state,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate proses mematikan komputer power supply keadaan mati data data kerjakan otomatis tersimpan beda halnya sleep sleep data data berjalan secara otomatis tersimpan power supply digunakan keadaan hidup,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
hibernate pc artinya melakukan penyimpanan kerja memori memori virtual hard disk hibernate komputer berada keadaan shutdown mati komputer dihidupkan kembali data data dikirimkan kembali memori ram untuk diproses kembali,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate pc salah satu mode untuk mengistirahatkan komputer disediakan sistem operasi hibernate kondisi komputer keadaan mati tegangan daya program aplikasi dijalankan waktu simpan ram,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
hibernate salah satu pilihan berbagai mode pc mode hibernate sistem menyimpan file software dijalankan hard disk ram data mengenai file software berjalan hilang power supply dimatikan mode hibernate pc dinyalakan pc otomatis me load kembali data mengenai software file dijalankan user langsung melanjutkan pekerjaan dilakukan power supply cabut,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate kondisi pc mematikan proses dilakukan hidupkan kembali membutuhkan waktu singkat,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,60,0.6
